Id,CompanyName,Address,SSN,LegalType
A1,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,CORP
A2,Acme Corporation,"100 Main Street, New York, NY 10001",,LLC
A3,GLOBAL LOGISTICS INC,"New York, NY 10001",,
A4,ACME LOGISTICS INC,"100 Main Street, New York, NY 10001",,
A5,Apex Financial Corporation,,123456789,PLAN
A6,Global Tech Services,"1200 Pacific Highway, San Diego, CA 92101",321654987,CORP
A7,cme Corporation,"100 Main Street, New York, NY 10001",954789512,NGO
A8,Global Logistics Inc,"450 North Oak Avenue, Chicago, IL 60601",578412589,INC
A9,Horizon Financial Services,"750 Broad Street, Newark, NJ 07102",456789123,LLC
A10,Delta Consulting Group,"1200 Pacific Highway, San Diego, CA 92101",321654987,LLC
A11,Pinnacle Financial Group,"300 Capitol St, Houston, TX 77002",987654321,CORP
A12,Zenith Industrial Supplies,"500 Airport Rd, Phoenix, AZ 85001",111222333,LLC
A13,Trinity Grace Community Church,"100 Chapel Lane, Nashville, TN 37201",,CHURCH
A14,Vanguard Capital Hedge Fund,"500 Wall Street, New York, NY 10005",456789123,HEDGE
A15,St Mary Academy School,"250 Education Way, Boston, MA 02108",,SCHOOL
A16,B&M International Trading Co.,"100 Main St. #4-B, New York, NY 10001",954789512,NGO
A17,S.T.A.R. Youth Foundation,"450 N. Oak Ave., Ste. 100 / Bldg. A",578412589,FNDN
A18,L'Express @ Capital Bank (Global),"1200 Pacific Hwy; San Diego, CA 92101",,INVSTBNK
A19,pex Technology Corporation,"500 Innovation Way, Austin, TX 78701",987654321,CORP
A20,Global Logistics Incorporated,"450 North Oak Avenue, Chicago, IL 60601",578412589,INC
A21,Beacon Hill Private Limited,"120 Federal St, Boston, MA 02110",,FOCO
A22,Horizon Solutions Limited Liability Company,"750 Broad Street, Newark, NJ 07102",456789123,LLC
A23,Bank of New York Mellon,"240 Greenwich Street, New York, NY 10286",954789512,INVSTBNK
A24,International Business Machines,"1 New Orchard Road, Armonk, NY 10504",578412589,CORP
A25,Apex Logistics Services,"500 Innovation Way, Austin, TX 78701",,FOCO
A26,Hongkong and Shanghai Banking Corporation,"1 Queen's Road Central, Hong Kong",456789123,INVSTBNK
A27,Apex Technology Department,"500 Innovation Way, Austin, TX 78701",987654321,SCHOOL
A28,Global Management and Administration Services,"450 North Oak Avenue, Chicago, IL 60601",578412589,MUNI
A29,Jane Street,"250 Vesey Street, New York, NY 10281",,HEDGE
A30,Pinnacle Energy Resources,"750 Broad Street, Suite 400, Newark, NJ 07102",456789123,FOINS
A31,Zenith Financial Solutions,"500 Innovation Boulevard, Apartment 12B, Austin, TX 78701",987654321,SCHOOL
A32,Vanguard Freight Systems,"450 North Oak Avenue, Highway 101, Chicago, IL 60601",,MUNI
A33,Sterling Global Enterprise,"120 Federal Parkway, Drive #3, Boston, MA 02110",654987321,LLP
A34,The Crestview Capital and Growth Fund,"1200 Pacific Hwy, San Diego, CA 92101",321654987,HEDGE
A35,Society for the Prevention of Cruelty,"450 N Oak Ave, Chicago, IL 60601",578412589,NGO
A36,Center of Science or Technology,"500 Innovation Blvd, Austin, TX 78701",,SCHOOL
A37,The Bank for International Trade,"750 Broad St, Newark, NJ 07102",456789123,INVSTBNK
A38,Trident Logistics Group International,"100 Main St, New York, NY 10001",987654321,CORP
A39,Zenith Financial Solutions Enterprise,"500 Innovation Blvd, Austin, TX 78701",456789123,INVSTBNK
